n,total_measurements,E_spex,time_spex,E_qulacs,time_qulacs
1,6,-0.5990305727422252,0.0449521541595459,-0.5990305727422253,0.0007569789886474609
2,23,-0.9873173630884557,0.05591607093811035,-0.9873173630884562,0.0013020038604736328
3,52,-1.4076621306451274,0.05423903465270996,-1.4076621306451282,0.0019998550415039062
4,93,-1.7718199057882529,0.06614303588867188,-1.7718199057882538,0.01813483238220215
5,146,-2.2123580028460643,0.052806854248046875,-2.212358002846065,0.00481104850769043
6,211,-2.5762135294669544,0.06645083427429199,-2.576213529466954,0.009060144424438477
7,288,-3.0390338836248216,0.07832908630371094,-3.0390338836248194,0.037663936614990234
8,377,-3.4039762325717065,0.08845996856689453,-3.4039762325717104,0.12373208999633789
9,478,-3.8692889377607145,0.0891718864440918,-3.8692889377607136,0.405670166015625
